# 一簡
一	y
妭	bsauvu
灞	bsav
灞	bsavoa
拔	bsi
罷	bsia
岜	bsiaa
岜	bsiaai
蚆	bsiaai
蚆	bsiaai
罷	bsiaao
芭	bsii
芭	bsiiai
菝	bsiii
菝	bsiiiu
葩	bsiiu
葩	bsiiui
茇	bsiiv
茇	bsiivu
鈀	bsio
鈀	bsioai
鈸	bsiov
鈸	bsiovu
扒	bsiu
把	bsiuai
捌	bsiuo
捌	bsiuoa
扒	bsiuuo
拔	bsiuvu
吧	bso
祓	bsoa
吧	bsoaiv
祓	bsoavu
跋	bsoi
跋	bsoivu
叭	bsou
粑	bsoua
粑	bsouai
羓	bsouai
羓	bsouai
叭	bsouoo
疤	bsov
疤	bsovai
八	bsu
鮁	bsua
䰾	bsuaa
䰾	bsuaai
鮊	bsuau
鮊	bsuaui
鮁	bsuavu
魃	bsui
魃	bsuivu
爸	bsuo
爸	bsuoai
八	bsuoo
笆	bsuv
笆	bsuvai
胈	bsuvu
胈	bsuvua
霸	bsv
杷	bsva
杷	bsvaiv
靶	bsvi
靶	bsviai
壩	bsvo
壩	bsvovi
霸	bsvovi
朳	bsvu
朳	bsvuoo
耙	bsvv
耙	bsvvai
被	bw
貝	bwa
陂	bwai
陂	bwaiau
貝	bwaoo
婢	bwau
婢	bwauui
臂	bwav
鐾	bwavi
鐾	bwavio
臂	bwavuu
北	bwi
蓓	bwii
蓓	bwiiio
萆	bwiiu
萆	bwiiui
倍	bwio
鋇	bwioa
鋇	bwioao
倍	bwiovo
揹	bwiu
俾	bwiui
俾	bwiuia
揹	bwiuiv
備	bwiv
邶	bwiva
邶	bwivai
備	bwivii
悲	bwivo
悲	bwivoa
憊	bwivoa
憊	bwivoa
背	bwivu
北	bwivua
背	bwivuu
輩	bwivv
輩	bwivva
唄	bwo
褙	bwoa
被	bwoaau
褙	bwoaiv
唄	bwoaoo
悖	bwoo
悖	bwoouo
焙	bwou
焙	bwouov
糒	bwouv
糒	bwouvi
庳	bwov
庳	bwovui
卑	bwu
狽	bwua
狽	bwuaao
鵯	bwui
鵯	bwuiui
卑	bwuiuo
勃	bwuo
孛	bwuoa
孛	bwuoai
勃	bwuoau
杯	bwv
鞴	bwvi
鞁	bwvia
鞁	bwviai
鞴	bwvivi
埤	bwvo
埤	bwvoui
碑	bwvu
椑	bwvui
椑	bwvuia
盃	bwvuia
盃	bwvuia
碚	bwvuo
碚	bwvuov
碑	bwvuui
琲	bwvv
琲	bwvviv
杯	bwvvui
報	bz
剝	bza
剝	bzaaii
孢	bzai
孢	bzaiua
瀑	bzao
瀑	bzaoiv
皰	bzau
皰	bzauua
保	bzi
薄	bzii
薄	bziiav
葆	bziii
葆	bziiio
苞	bziiu
苞	bziiua
飽	bzio
煲	bzioo
煲	bzioou
飽	bzioua
堡	bziov
堡	bziovo
保	bziovv
抱	bziu
抱	bziuua
齙	bziv
齙	bzivua
寶	bzo
褓	bzoa
褓	bzoaio
暴	bzoi
曝	bzoio
曝	bzoioi
趵	bzoiu
趵	bzoiua
暴	bzoivi
寶	bzooao
爆	bzou
爆	bzouoi
炮	bzouu
炮	bzouua
褒	bzov
褒	bzovio
包	bzu
勹	bzua
勹	bzuaa
包	bzuaav
刨	bzuai
刨	bzuaii
鮑	bzuau
鮑	bzuaua
鴇	bzuaui
鴇	bzuaui
豹	bzuo
豹	bzuoua
胞	bzuu
胞	bzuuaa
箔	bzuv
箔	bzuvau
雹	bzv
報	bzvoai
雹	bzvoua
枹	bzvu
枹	bzvuaa
匏	bzvuu
匏	bzvuua
催	cb
翠	cba
縗	cbaa
縗	cbaaov
漼	cbai
漼	cbaiai
淬	cbao
翠	cbaoov
淬	cbaovi
崔	cbi
崒	cbia
崔	cbiaio
崒	cbiaov
萃	cbii
催	cbiiai
萃	cbiiov
摧	cbiu
摧	cbiuia
啐	cbo
悴	cboo
悴	cbooov
啐	cboovi
粹	cbou
粹	cbouov
瘁	cbov
衰	cbovi
衰	cbovia
瘁	cbovov
脆	cbu
脆	cbuuav
毳	cbuv
毳	cbuvuv
璀	cbv
榱	cbvo
榱	cbvovi
璀	cbvvia
湊	cd
湊	cdavvv
腠	cdu
腠	cduvvv
輳	cdv
輳	cdvavv
楱	cdvv
楱	cdvvvv
測	ce
測	ceaaoi
側	cei
側	ceiaoi
廁	ceo
惻	ceoo
惻	ceooao
廁	ceovao
冊	ceu
冊	ceuaua
策	ceuv
策	ceuvvi
坼	cev
坼	cevouu
柵	cevu
柵	cevuau
參	cf
孱	cfa
毿	cfao
參	cfaouu
毿	cfaouv
孱	cfavai
餐	cfi
黲	cfia
黲	cfiaao
摻	cfiu
摻	cfiuao
粲	cfiv
驂	cfiva
驂	cfivao
餐	cfivio
粲	cfivou
慘	cfo
慚	cfoo
慘	cfooao
慚	cfoova
燦	cfou
燦	cfouia
穇	cfu
	cfuv
穇	cfuvao
	cfuvao
殘	cfv
蠶	cfva
蠶	cfvaia
磣	cfvu
磣	cfvuao
殘	cfvuva
璨	cfvv
璨	cfvviv
菜	ch
財	cha
綵	chaa
纔	chaau
纔	chaaua
綵	chaauo
財	chaovi
採	chi
睬	chia
睬	chiauo
蔡	chii
偲	chiia
偲	chiiav
蔡	chiiua
菜	chiiuo
採	chiuuo
踩	cho
踩	choiuo
寀	choo
寀	choouo
猜	chu
猜	chuavv
彩	chuo
裁	chuoo
裁	chuoov
彩	chuouu
采	chuov
采	chuovv
材	chv
才	chvi
才	chviuu
埰	chvo
埰	chvouo
材	chvviu
粗	cj
促	cji
蔟	cjii
蔟	cjiiov
鏃	cjio
促	cjioiv
鏃	cjioov
蹴	cjo
蹴	cjoiov
㥮	cjoo
㥮	cjooua
粗	cjouia
卒	cjov
卒	cjovii
簇	cju
猝	cjua
猝	cjuaov
徂	cjuu
徂	cjuuia
簇	cjuvov
醋	cjv
酢	cjvi
酢	cjviuv
醋	cjvivi
蹙	cjvu
殂	cjvui
殂	cjvuia
蹙	cjvuoi
厝	cjvuv
厝	cjvuvi
槭	cjvv
槭	cjvvui
次	ck
賜	cka
泚	ckai
泚	ckaivi
賜	ckaooi
此	cki
伺	ckia
伺	ckiavo
茨	ckii
茲	ckiia
茲	ckiia
茈	ckiii
茈	ckiiiv
茨	ckiiov
莿	ckiiv
莿	ckiivi
佽	ckio
佽	ckiovu
雌	ckiv
雌	ckivio
鮆	ckivu
此	ckivua
鮆	ckivua
詞	cko
祠	ckoa
祠	ckoaav
詞	ckoaav
呲	ckoi
跐	ckoii
跐	ckoiiv
呲	ckoivi
慈	ckou
糍	ckouo
慈	ckouoa
糍	ckouou
鶿	ckouu
鶿	ckouua
鷀	ckouui
鷀	ckouui
差	ckouv
差	ckouvi
瓷	ckov
廁	ckova
廁	ckovao
疵	ckovi
餈	ckovio
餈	ckovio
疵	ckoviv
恣	ckovo
恣	ckovoa
粢	ckovou
粢	ckovou
次	ckovua
瓷	ckovva
辭	cku
辭	ckuoov
刺	ckv
刺	ckviii
磁	ckvu
磁	ckvuou
玼	ckvv
玼	ckvviv
錯	cl
搓	cli
嵯	clia
嵯	cliaou
莝	clii
莝	cliiii
蕞	cliio
蕞	cliioi
銼	clio
銼	clioii
錯	cliovi
撮	cliu
挫	cliui
挫	cliuii
撮	cliuoi
搓	cliuou
措	cliuv
措	cliuvi
鹺	cliv
鹺	clivou
痤	clo
蹉	cloi
蹉	cloiou
瘥	clov
痤	clovii
瘥	clovou
矬	clu
脞	clui
脞	cluiiv
酇	cluv
酇	cluvai
矬	cluvii
磋	clv
厝	clvu
磋	clvuou
厝	clvuvi
瑳	clvv
瑳	clvvou
岑	cn
涔	cna
涔	cnaiai
參	cnao
參	cnaouu
岑	cniaio
藏	cp
滄	cpa
滄	cpaioa
蒼	cpi
傖	cpii
蒼	cpiiio
傖	cpiioa
藏	cpiivu
倉	cpio
倉	cpioav
鶬	cpiou
鶬	cpioui
蹌	cpo
蹌	cpoiio
愴	cpoo
愴	cpooio
艙	cpu
艙	cpuuio
臧	cpv
臧	cpvuvi
瑲	cpvv
瑲	cpvvio
曾	cr
層	cra
層	cravou
嶒	cri
嶒	criaou
蹭	cro
蹭	croiou
噌	croo
噌	crooui
曾	crouoi
擦	cs
拆	csi
擦	csiuoo
拆	csiuuu
嚓	cso
嚓	csoooa
礤	csv
礤	csvuii
竄	ct
攢	cti
鑹	ctio
鑹	ctiooo
攛	ctiu
攛	ctiuoo
攥	ctiuu
攢	ctiuuv
攥	ctiuuv
躥	cto
躥	ctoioo
竄	ctooui
篡	ctu
爨	ctui
爨	ctuivv
汆	ctuo
汆	ctuoaa
篡	ctuvia
村	cw
皴	cwa
皴	cwaoau
忖	cwo
蹲	cwoi
蹲	cwoiou
忖	cwoovi
吋	cwov
吋	cwovio
存	cwv
邨	cwva
邨	cwvaai
寸	cwvi
寸	cwvioo
存	cwvuai
村	cwvvio
從	cy
淙	cya
淙	cyaooa
叢	cyi
蔥	cyii
叢	cyiiou
蓯	cyiiu
蔥	cyiiui
蓯	cyiiuu
驄	cyiv
驄	cyivui
悰	cyo
熜	cyoo
悰	cyoooo
熜	cyooui
匆	cyu
匆	cyuauu
囪	cyui
囪	cyuiau
從	cyuui
聰	cyv
聰	cyviou
樅	cyvu
樅	cyvuui
琮	cyvv
琮	cyvvoo
璁	cyvvu
璁	cyvvui
草	cz
漕	cza
漕	czavia
操	czi
螬	czia
螬	cziavi
草	cziioi
操	cziuoo
糙	czo
糙	czouuv
嘈	czov
嘈	czovia
艚	czu
肏	czuo
肏	czuoia
艚	czuuvi
曹	czv
曹	czvioi
𥕢	czvu
𥕢	czvuvi
槽	czvv
槽	czvvia
對	db
隊	dba
隊	dbaiou
鐓	dbi
懟	dbii
懟	dbiioa
對	dbiivi
鐓	dbioov
兌	dbo
祋	dboa
祋	dboaua
兌	dbouua
憝	dbov
憝	dbovoa
敦	dbovu
敦	dbovuv
追	dbu
追	dbuioa
堆	dbv
堆	dbvoio
碓	dbvu
碓	dbvuio
掉	dc
刁	dca
汈	dcaa
汈	dcaavv
屌	dcav
弔	dcava
弔	dcavai
屌	dcavoi
刁	dcavv
釣	dci
蜩	dcia
蜩	dciaua
莜	dcii
莜	dciiii
銱	dcio
銱	dciooi
銚	dciou
釣	dcioua
銚	dciouo
掉	dciuiv
調	dco
叼	dcoa
調	dcoaua
叼	dcoavv
吊	dcoi
吊	dcoiai
窵	dcoo
窵	dcooui
凋	dcov
凋	dcovua
雕	dcu
鯛	dcua
雕	dcuaio
鵰	dcuau
鯛	dcuaua
鵰	dcuaui
彫	dcuauu
彫	dcuauu
鳥	dcui
鳥	dcuiav
貂	dcuo
貂	dcuoau
碉	dcv
碉	dcvuua
琱	dcvv
琱	dcvvua
都	dd
陡	dda
絰	ddaa
絰	ddaava
陡	ddaivo
渫	ddav
渫	ddavii
抖	ddi
蝶	ddia
蚪	ddiao
疊	ddiaoa
疊	ddiaoa
蚪	ddiaoo
嵽	ddiav
嵽	ddiavi
蝶	ddiavi
蔸	ddii
蔸	ddiiui
鈄	ddio
鈄	ddiooo
揲	ddiu
抖	ddiuoo
佚	ddiuv
揲	ddiuvi
佚	ddiuvv
鬥	ddiv
鬥	ddivvi
跌	ddo
諜	ddoa
讀	ddoav
諜	ddoavi
讀	ddoavo
曡	ddoi
曡	ddoioa
昳	ddoiu
昳	ddoiuv
跌	ddoiuv
蹀	ddoiv
蹀	ddoivi
趺	ddoivv
趺	ddoivv
竇	ddoo
竇	ddoovo
痘	ddov
咥	ddova
咥	ddovao
喋	ddovi
喋	ddovii
呋	ddovv
痘	ddovvo
呋	ddovvu
兜	ddu
鰈	ddua
鰈	dduavi
牒	ddui
兜	dduiua
牒	dduivi
爹	dduo
都	dduoai
䏲	dduou
䏲	dduoua
爹	dduoua
耋	dduov
耋	dduova
瓞	dduu
瓞	dduuuv
迭	dduv
迭	dduvoa
篼	dduvu
篼	dduvui
豆	ddv
逗	ddvo
逗	ddvooa
豆	ddvoou
垤	ddvov
垤	ddvova
堞	ddvovi
堞	ddvovi
碟	ddvu
碟	ddvuvi
楪	ddvv
楪	ddvvii
得	de
の	dea
の	dea
鍀	dei
鍀	deiooi
嘚	deo
嘚	deouui
底	deov
底	deovua
德	deu
的	deui
的	deuiua
得	deuuoi
德	deuuuo
地	dev
地	devoai
但	df
彈	dfa
紞	dfaa
紞	dfaaoa
蛋	dfai
蛋	dfaiia
疍	dfaio
疍	dfaioi
淡	dfao
賧	dfaoo
彈	dfaooi
賧	dfaoou
淡	dfaoui
澶	dfaov
澶	dfaovi
澹	dfau
澹	dfauav
妲	dfauo
妲	dfauoi
擔	dfi
眈	dfia
眈	dfiaoa
萏	dfii
萏	dfiiua
僤	dfio
但	dfioiv
鉭	dfioo
僤	dfiooi
鉭	dfiooi
撣	dfiu
儋	dfiua
儋	dfiuav
撣	dfiuoo
擔	dfiuua
單	dfo
單	dfo
誕	dfoa
誕	dfoaui
旦	dfoi
旦	dfoivv
憚	dfoo
鄲	dfooa
鄲	dfooai
忱	dfooo
忱	dfoooa
憚	dfoooo
啖	dfoou
憺	dfooua
憺	dfooua
啖	dfooui
燀	dfou
燀	dfouoo
疸	dfov
亶	dfovi
亶	dfovia
癉	dfovo
疸	dfovoi
癉	dfovoo
旃	dfovu
旃	dfovuv
丹	dfu
丹	dfuaov
膻	dfuo
膻	dfuovi
膽	dfuu
膽	dfuuao
氮	dfuv
簞	dfuvo
簞	dfuvoo
氮	dfuvou
耽	dfv
聃	dfvi
聃	dfviia
靼	dfvio
耽	dfvioa
靼	dfvioi
石	dfvu
殫	dfvuo
殫	dfvuoo
石	dfvuoo
定	dg
汀	dga
汀	dgavii
盯	dgi
鼎	dgia
鼎	dgiaav
町	dgiav
町	dgiavi
盯	dgiavi
萣	dgii
萣	dgiioo
釘	dgio
錠	dgioo
錠	dgiooo
鋌	dgiou
鋌	dgiouv
釘	dgiovi
仃	dgiv
仃	dgivii
訂	dgo
訂	dgoavi
啶	dgoo
啶	dgoooa
定	dgoovi
叮	dgov
叮	dgovii
疔	dgovv
